time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/09/13/15:29:25.015847,1,0,0,,0.516885387558976,0.5092882979468878,0.8796702253684906,-2.2427518367767334,800.0,800.0,0.0
2023/09/13/15:29:25.026337,2,0,0,,0.5168846136341062,0.5092879375647602,0.8940962743767726,-2.2430989742279053,800.0,800.0,0.0
2023/09/13/15:29:25.037386,3,0,0,,0.5168848291637049,0.5092857935605454,0.859649452971374,-2.242779493331909,800.0,800.0,0.0
2023/09/13/15:29:25.045431,4,0,0,,0.5168832589056811,0.5092860415164199,0.8660448980496571,-2.2438790798187256,800.0,800.0,0.0
2023/09/13/15:29:25.055780,5,0,0,,0.5168890708612182,0.5092853356325593,0.8670709336794656,-2.2430002689361572,800.0,800.0,0.0
2023/09/13/15:29:25.066689,6,0,0,,0.5168837284216722,0.5092866067849084,0.8804005046238058,-2.243464469909668,800.0,800.0,0.0
2023/09/13/15:29:25.075445,7,0,0,,0.5168812056679724,0.5092910082812684,0.8701827095741369,-2.242992639541626,800.0,800.0,0.0
2023/09/13/15:29:25.085585,8,0,0,,0.5168866538485705,0.509290826648769,0.8955831269598912,-2.242389440536499,800.0,800.0,0.0
2023/09/13/15:29:25.097101,9,0,0,,0.516882387643795,0.5092909441975679,0.8736678236743015,-2.2416837215423584,800.0,800.0,0.0
2023/09/13/15:29:25.105476,10,0,0,,0.5168809814739779,0.5092900190246894,0.8656138448381122,-2.2423925399780273,800.0,800.0,0.0
2023/09/13/15:29:25.115605,11,0,0,,0.5168817512151771,0.5092873909347737,0.8490334213409333,-2.2422187328338623,800.0,800.0,0.0
2023/09/13/15:29:25.125822,12,0,0,,0.5168825653969981,0.5092856465516641,0.8325170900096945,-2.242915153503418,800.0,800.0,0.0
